created_month,whale_group,source_label,observation_count,total_sighted
2020-01,Dolphins & Porpoises,Spotter,104,44984
2020-01,Dolphins & Porpoises,Whale Alert,1,2
2020-01,Gray Whale,Spotter,37,83
2020-01,Gray Whale,Whale Alert,16,29
2020-01,Humpback Whale,Spotter,1,1
2020-01,Humpback Whale,Whale Alert,7,12
2020-01,Humpback Whale,Whale Alert Alaska Web,1,10
2020-01,Humpback Whale,Whale Alert Mobile,1,1
2020-01,Humpback Whale,Whale Alert Orca Web,1,1
2020-01,Large Baleen Whale,Spotter,3,6
2020-01,Orca,Spotter,1,12
2020-01,Orca,Whale Alert,2,62
2020-01,Orca,Whale Alert Alaska Web,1,6
2020-01,Other Marine Mammals,Marina Life,2,2
2020-01,Other Marine Mammals,Whale Alert,20,30
2020-01,Other Whales,Spotter,1,1
2020-01,Right Whale,Whale Alert,5,7
2020-01,Right Whale,Whale Alert Mobile,3,6
2020-02,Dolphins & Porpoises,Spotter,81,36474
2020-02,Gray Whale,Spotter,43,86
2020-02,Gray Whale,Whale Alert,30,52
2020-02,Gray Whale,Whale Alert Mobile,2,3
2020-02,Humpback Whale,Spotter,26,294
2020-02,Humpback Whale,Whale Alert,6,12
2020-02,Humpback Whale,Whale Alert Mobile,3,6
2020-02,Large Baleen Whale,Spotter,1,1
2020-02,Large Baleen Whale,Whale Alert Mobile,1,2
2020-02,Orca,Spotter,1,5
2020-02,Orca,Whale Alert,3,34
2020-02,Orca,Whale Alert Mobile,2,2
2020-02,Other Marine Mammals,Spotter,2,2
2020-02,Other Marine Mammals,Whale Alert,25,51
2020-02,Other Marine Mammals,Whale Alert Mobile,1,1
2020-02,Other Whales,Whale Alert,1,2
2020-02,Right Whale,Whale Alert,5,7
2020-02,Right Whale,Whale Alert Mobile,5,7
2020-03,Dolphins & Porpoises,Spotter,31,9781
2020-03,Dolphins & Porpoises,Whale Alert,1,25
2020-03,Gray Whale,Spotter,31,89
2020-03,Gray Whale,Whale Alert,28,80
2020-03,Gray Whale,Whale Alert Mobile,6,12
2020-03,Humpback Whale,Spotter,11,18
2020-03,Humpback Whale,Whale Alert,13,22
2020-03,Humpback Whale,Whale Alert Alaska Web,2,4
2020-03,Humpback Whale,Whale Alert Mobile,1,7
2020-03,Large Baleen Whale,Spotter,1,1
2020-03,Large Baleen Whale,Whale Alert,3,3
2020-03,Large Baleen Whale,Whale Alert Mobile,9,94
2020-03,Orca,Whale Alert,5,22
2020-03,Orca,Whale Alert Mobile,1,3
2020-03,Other Marine Mammals,Cascadia,3,3
2020-03,Other Marine Mammals,Whale Alert,40,81
2020-03,Other Marine Mammals,Whale Alert Alaska Web,2,4
